Bee.ID,Location,Site,Pair,Elevation,HB.abundance,BB.abundance,Vegetation,Type,Date,Period ,Weight(mg),Wing.R,Wing.L,Wing.mean,Floral.Resource,Pollen.load,Notes
B070,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,157,0.29,0.3,0.29,Coyote,Yes,
B057,SEKI,Site 17,B - Forest,~ 6500 ft,1,25,Forest,Unburned,7/16/2023,Morning,130,0.28,0.27,0.28,Bluebells,,
B073,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,157,0.32,0.32,0.32,Coyote,Yes,
B089,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/17/2023,Morning,157,0.32,0.32,0.32,Lupine ,Yes,
B043,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,159,0.27,0.27,0.27,Scorpionweed,No,
B063,SEKI,Site 17,B - Forest,~ 6500 ft,1,25,Forest,Unburned,7/16/2023,Morning,129,0.28,0.28,0.28,Bluebells,No,
B085,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,162,0.28,0.28,0.28,Scorpionweed,Yes,
B050,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,160,0.32,0.32,0.32,Scorpionweed,No,
B053,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,162,0.27,0.27,0.27,Scorpionweed,Yes,
B016,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.28,0.27,0.28,Bluebells,Yes,
B066,SEKI,Site 17,B - Forest,~ 6500 ft,1,25,Forest,Unburned,7/16/2023,Morning,141,0.29,0.28,0.28,Bluebells,,
B080,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,170,0.28,0.29,0.29,Scorpionweed ,No,
B078,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,147,0.29,0.29,0.29,Scorpionweed or Purple,No,
B100,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,163,,,,Scorpionweed,Yes,Flew away before rest of measurements 
B062,SEKI,Site 17,B - Forest,~ 6500 ft,1,25,Forest,Unburned,7/16/2023,Morning,157,0.29,0.29,0.29,Bluebells,,
B096,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,170,0.31,0.31,0.31,Scorpionweed,No,
B055,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,173,0.27,0.26,0.26,Scorpionweed,No,
B076,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,167,0.29,0.29,0.29,Scorpionweed or Purple,No,
B013,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.29,0.29,0.29,Bluebells,Yes,
B072,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,175,0.32,0.32,0.32,Coyote,Yes,
B094,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,177,0.3,0.3,0.3,Scorpionweed,No,
B069,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,182,0.31,0.31,0.31,Lupine ,Yes,
B074,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,182,0.31,0.32,0.31,Coyote,Yes,
B049,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,183,0.29,0.29,0.29,Scorpionweed,Yes,
B005,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/11/2023,Afternoon ,,0.3,0.28,0.29,Bluebells,No,
B052,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,187,0.29,0.29,0.29,Scorpionweed,Yes,
B075,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,194,0.34,0.34,0.34,Lupine ,No,
B068,SEKI,Site 05,A - Meadow,~ 6000 ft,3,100,Forest,Burned,7/16/2023,Afternoon ,195,0.28,0.29,0.28,Coyote,No,
B097,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,200,0.32,0.32,0.32,Scorpionweed,Yes,
B026,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.22,0.22,0.22,Bluebells,Yes,
B011,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.31,0.31,0.31,Bluebells,No,
B019,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.23,0.23,0.23,Bluebells,No,Possible gyne? 2 loads - one rlly small
B025,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.23,0.23,0.23,Bluebells,Yes,2 smallish loads
